Sample in Buffer,Sample in Window,TRIGGER,zsys_i/system_ila_0/U0/probe0_1[15:0],user_probe_0[15:0],zsys_i/system_ila_0/U0/probe1_1[15:0],zsys_i/system_ila_0/U0/probe2_1,zsys_i/system_ila_0/U0/probe3_1[15:0],zsys_i/system_ila_0/U0/probe4_1[15:0],zsys_i/system_ila_0/U0/probe5_1,GL0,zsys_i/system_ila_0/U0/probe6_1[2:0],GL1,GL2,zsys_i/system_ila_0/U0/probe7_1,Monitor1[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tdata[63:0],Monitor2[15:0],Monitor3[15:0],Monitor4[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_0_axis_tready,zsys_i/system_ila_0/U0/net_slot_0_axis_tlast,zsys_i/system_ila_0/U0/net_slot_1_axis_tdata[63:0],zsys_i/system_ila_0/U0/net_slot_1_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_1_axis_tready,zsys_i/system_ila_0/U0/net_slot_1_axis_tlast,zsys_i/system_ila_0/U0/net_slot_2_axis_tdata[31:0],zsys_i/system_ila_0/U0/net_slot_2_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_2_axis_tready,zsys_i/system_ila_0/U0/net_slot_2_axis_tlast,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_start_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_done_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_idle_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_ready_1,T_Channel_(i1:s0)_(axis_monitor_0_m_axis)[2:0],T_Channel_(i1:s1)_(axis_AD7403_0_m_axis)[2:0],T_Channel_(i1:s2)_()[2:0]
0,0,1,0007,fffd,fffd,0,0011,ffed,0,1,7,1,1,0,fff8,012100000003fff8,0003,0000,0121,0,1,0,7fff7fff001000fa,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
1,1,0,fffa,fffd,fffd,0,fff3,0007,1,1,7,1,1,0,0003,0121000000030003,0003,0000,0121,0,1,0,7fff7fff001000ec,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
2,2,0,ffff,0002,0002,0,fffe,0010,1,0,0,0,0,0,0002,01210000fffe0002,fffe,0000,0121,0,1,0,7fff7fff000400ec,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
3,3,0,0004,0005,0005,0,0018,fff9,1,0,0,0,0,0,ffff,01210000fffbffff,fffb,0000,0121,0,1,0,7fff7fff002600e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
4,4,0,0005,0002,0002,0,fff1,000f,1,1,7,1,1,0,fffd,01210000fffefffd,fffe,0000,0121,0,1,0,7fff7fff000a00e6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
5,5,0,fff6,fff7,fff7,0,ffff,ffe4,1,1,7,1,1,0,0004,0121000000090004,0009,0000,0121,0,1,0,7fff7fff001a0104,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
6,6,0,fff5,fff2,fff2,0,0009,ffed,1,1,7,1,1,0,0003,01210000000e0003,000e,0000,0121,0,1,0,7fff7fff001a00f4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
7,7,0,ffff,0001,0001,0,fff4,0008,1,0,0,0,0,0,0001,01210000ffff0001,ffff,0000,0121,0,1,0,7fff7fff001a00ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
8,8,0,0002,fffd,fffd,0,fff9,ffe6,1,0,0,0,0,0,fffd,012100000003fffd,0003,0000,0121,0,1,0,7fff7fff000200ec,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
9,9,0,fff6,fffc,fffc,0,fff5,0008,1,1,7,1,1,0,0007,0121000000040007,0004,0000,0121,0,1,0,7fff7fff000e00f2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
