Sample in Buffer,Sample in Window,TRIGGER,zsys_i/system_ila_0/U0/probe0_1[15:0],user_probe_0[15:0],zsys_i/system_ila_0/U0/probe1_1[15:0],zsys_i/system_ila_0/U0/probe2_1,zsys_i/system_ila_0/U0/probe3_1[15:0],zsys_i/system_ila_0/U0/probe4_1[15:0],zsys_i/system_ila_0/U0/probe5_1,GL0,zsys_i/system_ila_0/U0/probe6_1[2:0],GL1,GL2,zsys_i/system_ila_0/U0/probe7_1,Monitor1[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tdata[63:0],Monitor2[15:0],Monitor3[15:0],Monitor4[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_0_axis_tready,zsys_i/system_ila_0/U0/net_slot_0_axis_tlast,zsys_i/system_ila_0/U0/net_slot_1_axis_tdata[63:0],zsys_i/system_ila_0/U0/net_slot_1_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_1_axis_tready,zsys_i/system_ila_0/U0/net_slot_1_axis_tlast,zsys_i/system_ila_0/U0/net_slot_2_axis_tdata[31:0],zsys_i/system_ila_0/U0/net_slot_2_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_2_axis_tready,zsys_i/system_ila_0/U0/net_slot_2_axis_tlast,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_start_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_done_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_idle_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_ready_1,T_Channel_(i1:s0)_(axis_monitor_0_m_axis)[2:0],T_Channel_(i1:s1)_(axis_AD7403_0_m_axis)[2:0],T_Channel_(i1:s2)_()[2:0]
0,0,1,feb8,fe86,fe86,0,feec,fec6,0,0,0,0,0,0,fff9,0328ff0101b5fff9,01b5,ff01,0328,0,1,0,7fff7fff01b400f6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
1,1,0,feb9,fe8c,fe8c,0,fed8,fed5,1,0,0,0,0,0,fffc,0328ff0101aefffc,01ae,ff01,0328,0,1,0,7fff7fff01aa00ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
2,2,0,fec4,fe9d,fe9d,0,fee5,fece,1,0,2,1,0,0,ffff,0328ff01019cffff,019c,ff01,0328,0,1,0,7fff7fff01aa00ec,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
3,3,0,fecc,fe9c,fe9c,0,ff07,fecf,1,1,3,1,0,0,fff9,0328ff01019bfff9,019b,ff01,0328,0,1,0,7fff7fff01b800f0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
4,4,0,fed3,fe86,fe86,0,fef8,fee6,1,1,7,1,1,0,ffe5,0328ff0101afffe5,01af,ff01,0328,0,1,0,7fff7fff01be00e0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
5,5,0,fec0,fe86,fe86,0,fefd,fecb,1,1,7,1,1,0,fff3,0328ff0101b3fff3,01b3,ff01,0328,0,1,0,7fff7fff01c800e6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
6,6,0,feca,fe92,fe92,0,fed5,fedb,1,0,0,0,0,0,fff3,0328ff0101a6fff3,01a6,ff01,0328,0,1,0,7fff7fff01a600ec,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
7,7,0,fec3,fe99,fe99,0,feef,fed3,1,0,2,1,0,0,fffd,0328ff0101a0fffd,01a0,ff01,0328,0,1,0,7fff7fff01ae00de,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
8,8,0,fed6,fe9e,fe9e,0,fefe,fed0,1,1,3,1,0,0,fff3,0328ff010197fff3,0197,ff01,0328,0,1,0,7fff7fff01a000fa,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
9,9,0,fecd,fe80,fe80,0,ff01,fee0,1,1,7,1,1,0,ffe5,0328ff0101b6ffe5,01b6,ff01,0328,0,1,0,7fff7fff01d000da,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
